iter	Passed	Remaining
0	126	126322
1	127	63404
2	127	42476
3	129	32122
4	130	25922
5	131	21752
6	131	18693
7	132	16416
8	132	14636
9	133	13218
10	134	12056
11	134	11088
12	135	10264
13	136	9626
14	138	9092
15	139	8559
16	139	8082
17	140	7653
18	140	7275
19	141	6930
20	142	6622
21	142	6348
22	143	6112
23	144	5894
24	145	5693
25	147	5516
26	148	5355
27	149	5182
28	150	5028
29	151	4893
30	152	4763
31	153	4637
32	154	4519
33	155	4411
34	156	4303
35	156	4197
36	158	4118
37	160	4052
38	161	3990
39	162	3908
40	163	3828
41	165	3774
42	166	3706
43	167	3649
44	168	3580
45	169	3512
46	170	3447
47	170	3383
48	171	3329
49	172	3274
50	173	3224
51	174	3172
52	175	3133
53	176	3088
54	177	3042
55	177	2995
56	178	2955
57	181	2939
58	182	2907
59	183	2878
60	184	2840
61	186	2814
62	189	2815
63	191	2803
64	192	2769
65	193	2733
66	194	2711
67	196	2690
68	196	2657
69	198	2632
70	198	2600
71	199	2570
72	200	2540
73	201	2517
74	202	2493
75	203	2471
76	203	2444
77	204	2416
78	205	2390
79	205	2365
80	206	2342
81	207	2321
82	208	2303
83	209	2287
84	210	2265
85	211	2243
86	211	2220
87	212	2199
88	212	2178
89	213	2158
90	214	2138
91	214	2118
92	215	2102
93	217	2100
94	218	2084
95	219	2064
96	219	2046
97	220	2027
98	220	2009
99	221	1991
100	221	1974
101	222	1958
102	223	1949
103	224	1937
104	227	1938
105	228	1929
106	229	1914
107	231	1910
108	233	1906
109	234	1901
110	236	1891
111	238	1888
112	239	1878
113	240	1869
114	241	1857
115	242	1845
116	242	1831
117	243	1819
118	244	1809
119	245	1798
120	245	1786
121	246	1773
122	247	1764
123	248	1753
124	248	1740
125	249	1729
126	250	1719
127	250	1709
128	251	1699
129	252	1690
130	253	1681
131	254	1671
132	254	1660
133	255	1649
134	257	1647
135	258	1639
136	259	1633
137	260	1626
138	261	1619
139	262	1611
140	263	1602
141	263	1591
142	264	1582
143	264	1574
144	265	1567
145	266	1561
146	267	1552
147	268	1545
148	269	1540
149	270	1531
150	270	1522
151	271	1513
152	271	1505
153	272	1496
154	273	1490
155	274	1486
156	275	1481
157	277	1478
158	278	1471
159	278	1463
160	279	1454
161	279	1446
162	280	1438
163	281	1434
164	282	1428
165	283	1422
166	283	1414
167	284	1409
168	285	1402
169	285	1395
170	286	1388
171	286	1381
172	287	1376
173	288	1369
174	289	1364
175	290	1358
176	290	1351
177	291	1344
178	291	1337
179	292	1331
180	292	1325
181	293	1319
182	294	1313
183	294	1307
184	295	1302
185	296	1297
186	296	1291
187	297	1285
188	298	1278
189	298	1272
190	299	1266
191	299	1260
192	300	1254
193	300	1248
194	301	1242
195	301	1237
196	302	1231
197	302	1227
198	303	1222
199	304	1217
200	304	1211
201	305	1205
202	305	1200
203	306	1195
204	306	1189
205	307	1184
206	307	1179
207	308	1174
208	308	1168
209	309	1163
210	310	1159
211	310	1154
212	311	1150
213	311	1145
214	312	1140
215	312	1135
216	313	1130
217	313	1125
218	314	1121
219	314	1116
220	315	1111
221	315	1106
222	316	1102
223	317	1098
224	318	1095
225	319	1092
226	319	1089
227	320	1085
228	321	1080
229	321	1076
230	321	1071
231	322	1067
232	322	1062
233	323	1058
234	323	1054
235	324	1050
236	325	1047
237	325	1043
238	326	1041
239	327	1037
240	327	1032
241	328	1028
242	328	1024
243	329	1020
244	329	1016
245	330	1012
246	330	1008
247	331	1004
248	331	1000
249	332	996
250	332	993
251	333	990
252	334	986
253	334	982
254	335	979
255	335	975
256	336	971
257	336	968
258	337	964
259	337	961
260	338	957
261	338	953
262	339	950
263	339	947
264	340	944
265	341	941
266	341	937
267	342	934
268	342	931
269	343	927
270	343	924
271	344	921
272	344	918
273	345	914
274	345	911
275	346	908
276	346	904
277	347	902
278	348	899
279	348	896
280	349	893
281	349	890
282	350	887
283	350	884
284	351	880
285	351	877
286	352	874
287	352	871
288	353	868
289	353	865
290	354	862
291	354	860
292	355	857
293	355	854
294	356	851
295	356	848
296	357	845
297	357	842
298	358	840
299	358	837
300	359	834
301	359	831
302	360	828
303	360	825
304	361	822
305	361	820
306	362	819
307	363	817
308	364	815
309	365	812
310	365	809
311	365	807
312	366	804
313	366	801
314	367	799
315	367	796
316	368	793
317	368	791
318	369	789
319	370	787
320	371	786
321	372	783
322	372	781
323	373	778
324	373	776
325	374	773
326	374	771
327	375	768
328	375	766
329	376	763
330	376	761
331	377	759
332	378	757
333	378	755
334	379	752
335	379	750
336	380	747
337	380	745
338	381	743
339	381	741
340	382	738
341	382	736
342	383	733
343	383	731
344	384	730
345	385	728
346	385	726
347	386	723
348	386	721
349	387	719
350	387	716
351	388	714
352	388	712
353	389	710
354	389	708
355	390	706
356	391	704
357	391	702
358	392	700
359	392	698
360	393	696
361	393	694
362	394	692
363	394	690
364	395	687
365	395	685
366	396	683
367	396	681
368	397	679
369	397	677
370	398	675
371	398	673
372	399	671
373	400	669
374	400	667
375	401	665
376	401	663
377	402	661
378	402	659
379	402	657
380	403	655
381	403	653
382	404	651
383	404	649
384	405	647
385	405	645
386	406	644
387	407	642
388	408	641
389	408	639
390	409	637
391	409	635
392	410	633
393	410	631
394	411	630
395	411	628
396	412	626
397	412	624
398	413	622
399	414	621
400	414	619
401	415	618
402	416	617
403	417	615
404	417	613
405	418	611
406	418	610
407	419	608
408	419	606
409	420	604
410	420	602
411	421	601
412	422	599
413	422	598
414	423	596
415	423	595
416	424	593
417	424	591
418	425	589
419	425	588
420	426	586
421	426	584
422	427	583
423	427	581
424	428	579
425	429	578
426	430	577
427	431	576
428	431	574
429	432	572
430	432	571
431	433	569
432	433	567
433	433	565
434	434	564
435	434	562
436	435	560
437	435	559
438	436	557
439	437	556
440	437	554
441	438	553
442	438	551
443	439	549
444	439	548
445	439	546
